22,36,8,2600
23,15,6,2600
24,27,7,2600
23,19,8,2100
31,36,8,1400
31,17,10,700
31,18,10,770
22,11,10,840
24,8,5,770
25,12,9,700
22,14,9,630
35,19,8,220
37,18,3,220
32,16,6,350
27,12,3,350
30,7,5,220
25,29,9,980
37,10,1,14
36,10,3,210
25,21,4,500
23,23,17,1500
27,16,19,800
18,23,13,1500
22,15,13,1000
23,23,18,1700
27,10,15,700
19,6,9,200
23,7,9,100
24,29,15,1200
22,19,11,600
25,13,0,300
26,2,1,150
30,1,11,300
28,10,2,350
24,21,11,600
31,27,1,500
26,20,4,500
30,15,9,200
29,17,19,800
22,15,10,1600
30,0,0,50
28,19,13,650
35,0,0,30
32,1,1,10
33,5,5,50
39,9,5,20
24,1,1,200
30,5,10,340
22,10,8,400
23,5,10,380
36,19,8,200
34,10,2,50
36,9,4,40
34,19,3,250
17,8,5,1900
